"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"135",".@AdrianaCohen16: ""We see our basic civil liberties, our right to free speech, being trampled on on college campuse… https://t.co/eYvVP4qV84",FALSE,2416,NA,2017-02-04 01:10:15,TRUE,NA,"827685668520275968",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",663,FALSE,FALSE,NA,NA
"136","Leo Terrell on #Berkeley protests: ""These are people who are expressing a disappointment with extreme views on the… https://t.co/Mh2psrQ2tv",FALSE,366,NA,2017-02-04 01:07:55,TRUE,NA,"827685079476342784",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","FoxNews",155,FALSE,FALSE,NA,NA
"137",".@CarlHigbie: ""If you are not a green card holder... a citizen... [or] here in the United Sates, the Constitution d… https://t.co/aQi5AKpFnp",FALSE,5091,NA,2017-02-04 00:55:31,TRUE,NA,"827681958977232898",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",1348,FALSE,FALSE,NA,NA
"138",".@KellyannePolls Clarifies ""Bowling Green Massacre"" Comment After Sparking Uproar
https://t.co/mSjklBKarF",FALSE,547,NA,2017-02-04 00:50:55,FALSE,NA,"827680800908988417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",153,FALSE,FALSE,NA,NA
"139","Pentagon strikes new F-35 deal with Lockheed after Trump involvement
https://t.co/rQTDycpIPI",FALSE,1586,NA,2017-02-04 00:47:00,FALSE,NA,"827679815377489920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",420,FALSE,FALSE,NA,NA
"140","Imam Hammad Ahmad: ""Terrorism has no religion."" #First100 https://t.co/cfWiyKLncC",FALSE,1315,NA,2017-02-04 00:38:43,FALSE,NA,"827677733106905089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",509,FALSE,FALSE,NA,NA
"141","Sgt. Robert Bartlett: ""The military fights for everybody - and so does Trump."" #First100 https://t.co/sRj6hwl0yx",FALSE,5648,NA,2017-02-04 00:34:50,FALSE,NA,"827676756740075520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",1262,FALSE,FALSE,NA,NA
"142","WATCH: Focus Group Debates 'Extreme Vetting' Executive Order #First100
https://t.co/tek5zpZ9ZX",FALSE,294,NA,2017-02-04 00:33:20,FALSE,NA,"827676376387969025",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",133,FALSE,FALSE,NA,NA
"143","Raza: ""As a democratically-elected leader of this country, [@POTUS] has the right to implement policies about long-… https://t.co/MCKSplrbBD",FALSE,2240,NA,2017-02-04 00:32:12,TRUE,NA,"827676093880684545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",497,FALSE,FALSE,NA,NA
"144","Nusrat Qadir: ""No refugee has ever struck back here in America against Americans."" #First100 https://t.co/GocjzThlP9",FALSE,313,NA,2017-02-04 00:23:17,FALSE,NA,"827673849961512960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",171,FALSE,FALSE,NA,NA
"145",".@DianeAtkins: ""We have sovereignty in this country. We have the right to protect that."" #First100 https://t.co/NI01RojbBz",FALSE,1865,NA,2017-02-04 00:12:26,FALSE,NA,"827671115745083401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",358,FALSE,FALSE,NA,NA
"146",".@CarlHigbie on Travel Ban: ""This is a start to protect the United States of America."" #First100 https://t.co/h4S30Twe5Y",FALSE,2513,NA,2017-02-04 00:09:40,FALSE,NA,"827670420744708096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",512,FALSE,FALSE,NA,NA
"147","Village Magazine Cover Shows Gun Target on Pres. Trump's Head
https://t.co/1W1RCsFgMs",FALSE,405,NA,2017-02-04 00:01:21,FALSE,NA,"827668326474215426",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",389,FALSE,FALSE,NA,NA
"148",".@stephenfhayes: ""It's not surprising that @SenWarren would like the economy to be run by Washington.""… https://t.co/OC7Izc2jBB",FALSE,607,NA,2017-02-03 23:52:16,TRUE,NA,"827666042965082113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",170,FALSE,FALSE,NA,NA
"149",".@SenSchumer tweets about the jobs report. #SpecialReport https://t.co/80NrMqbidX",FALSE,336,NA,2017-02-03 23:49:25,FALSE,NA,"827665327173550081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",122,FALSE,FALSE,NA,NA
"150","Iran provocations since signing UN agreement. #SpecialReport https://t.co/UNRo97u49g",FALSE,668,NA,2017-02-03 23:40:48,FALSE,NA,"827663157791449089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoxNews",495,FALSE,FALSE,NA,NA
