"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"61","Altria investigating whether recalled tobacco products were tampered with https://t.co/3GEmgqb8sk",FALSE,29,NA,2017-02-03 22:20:09,FALSE,NA,"827642860811976704",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",26,FALSE,FALSE,NA,NA
"62","Netanyahu takes conciliatory tone on White House settlement statement https://t.co/YdPc83hvLX",FALSE,48,NA,2017-02-03 22:20:09,FALSE,NA,"827642860262551555",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",39,FALSE,FALSE,NA,NA
"63","Pentagon reaches new deal with Lockheed Martin for F-35 jets https://t.co/BpYxHTpVuA",FALSE,146,NA,2017-02-03 22:05:09,FALSE,NA,"827639085082738688",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",105,FALSE,FALSE,NA,NA
"64","Why Julio Jones is the anti-diva (and that makes the #Falcons even more dangerous) https://t.co/2emLpX2iEz #SuperBowl",FALSE,85,NA,2017-02-03 21:49:06,FALSE,NA,"827635048480387073",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",32,FALSE,FALSE,NA,NA
"65","Macy’s CEO Terry Lundgren would pocket more than $80 million if the retailer is sold. https://t.co/xmQTI500DM",FALSE,43,NA,2017-02-03 21:40:16,FALSE,NA,"827632825558061056",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",47,FALSE,FALSE,NA,NA
"66","Parents and students who don't apply for college financial aid may be throwing away money. https://t.co/SuAp9A0BVC",FALSE,107,NA,2017-02-03 21:25:10,FALSE,NA,"827629022217699329",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",84,FALSE,FALSE,NA,NA
"67","Justice and State departments don’t agree on number of visas revoked under Trump’s order https://t.co/jhMO0q6eAU",FALSE,83,NA,2017-02-03 21:06:33,FALSE,NA,"827624339939942400",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",71,FALSE,FALSE,NA,NA
"68","Wall Street quants are taking the Falcons and the points https://t.co/d6QL0AMMZe",FALSE,72,NA,2017-02-03 21:02:14,FALSE,NA,"827623252281393152",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",57,FALSE,FALSE,NA,NA
"69","Ukrainians seek aid as fighting intensifies https://t.co/QN83o6HqgE",FALSE,55,NA,2017-02-03 20:49:16,FALSE,NA,"827619989767192576",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",81,FALSE,FALSE,NA,NA
"70","Mexican Drug Lord Joaquín ‘El Chapo’ Guzmán’s Lawyers Ask for More Access https://t.co/6HsAsrX6IQ",FALSE,40,NA,2017-02-03 20:35:46,FALSE,NA,"827616590980055040",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJ",35,FALSE,FALSE,NA,NA
