"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"22","NPR's @SamSanders breaks down what he learned (and didn't) on @POTUS' use of Twitter (is it from a secured smartpho… https://t.co/c8iYVfiFd5",FALSE,475,NA,2017-02-04 15:05:43,TRUE,NA,"827895917810417668",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",311,FALSE,FALSE,NA,NA
"23","Airlines Again Board Travelers Barred By Travel Order, As Trump Vows To Fight https://t.co/IpRuX0LjlO",FALSE,1091,NA,2017-02-04 14:57:03,FALSE,NA,"827893739674677248",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",457,FALSE,FALSE,NA,NA
"24","UPDATE: Qatar Airways says it will now allow nationals of the seven majority-Muslim countries to travel to the U.S. https://t.co/ZV92r7EwNg",FALSE,740,NA,2017-02-04 09:32:48,FALSE,NA,"827812138274189312",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",366,FALSE,FALSE,NA,NA
"25","The tournament director called this the biggest crisis in the Gibraltar chess festival's history.  https://t.co/l7ZfMv8Qck",FALSE,123,NA,2017-02-04 08:25:19,FALSE,NA,"827795154429943809",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",51,FALSE,FALSE,NA,NA
"26","UPDATE: A federal judge in Washington has issued a national stay on Trump's travel ban. The White House promises a quick appeal.",FALSE,695,"NPR",2017-02-04 04:23:32,FALSE,"827689979543437312","827734308190314497","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",245,FALSE,FALSE,NA,NA
"27","7 of her 10 opponents in the mixed-gender event were women; organizers said the draw was random but Hou Yifan thought otherwise",FALSE,68,"NPR",2017-02-04 01:58:00,FALSE,"827695833382547456","827697683435487232","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",16,FALSE,FALSE,NA,NA
"28","Hou Yifan, so accomplished she's earned the nickname the ""Queen of Chess,” was unhappy with the pairings at a tournament in Gibraltar",FALSE,92,"NPR",2017-02-04 01:53:50,FALSE,"827695833382547456","827696636738551808","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",14,FALSE,FALSE,NA,NA
"29","Why would a chess grandmaster throw a match? To make a point. https://t.co/aV45ttEo4x",FALSE,369,NA,2017-02-04 01:50:39,FALSE,NA,"827695833382547456",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",165,FALSE,FALSE,NA,NA
"30","National Panel Advises Judges On People Who Can't Pay Court Fees https://t.co/7o1HqU1Zvp",FALSE,68,NA,2017-02-04 01:40:05,FALSE,NA,"827693174164316161",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",68,FALSE,FALSE,NA,NA
"31","That's lower than the 100,000 visas a Justice Dept. attorney had said were revoked &amp; much higher than Homeland Security's figure (721)",FALSE,375,"NPR",2017-02-04 01:27:23,FALSE,"827689286992613378","827689979543437312","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",227,FALSE,FALSE,NA,NA
"32","State Department says ""roughly 60,000"" people's visas were ""provisionally revoked"" under Trump's travel order… https://t.co/g04LQTLHmI",FALSE,511,NA,2017-02-04 01:24:38,TRUE,NA,"827689286992613378",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",529,FALSE,FALSE,NA,NA
"33","Despite all the ads for life-saving cancer centers, there’s really no way to shop for the best care at this point. 
https://t.co/H6HNZHpuOS",FALSE,115,NA,2017-02-04 00:09:00,FALSE,NA,"827670255015178240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",68,FALSE,FALSE,NA,NA
"34","Deputy White House press secretary Stephanie Grisham told NPR, ""We don't comment on security protocols of any kind.""",FALSE,321,"NPR",2017-02-03 22:59:13,FALSE,"827652406318133253","827652690033381380","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",193,FALSE,FALSE,NA,NA
"35","We also asked: Are reports of President Trump using an unsecured Android true? And is the administration following cybersecurity protocols?",FALSE,1178,NA,2017-02-03 22:58:05,FALSE,NA,"827652406318133253",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",574,FALSE,FALSE,NA,NA
"36","Here's what we know about the raid -- the first under President Trump -- and questions swirling in its aftermath: https://t.co/TvsaspiSfr",FALSE,384,"NPR",2017-02-03 22:06:58,FALSE,"827638416640770053","827639542471675904","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",430,FALSE,FALSE,NA,NA
"37","Defense officials declined to release any other, newer intelligence they said was in computers that special operations troops recovered.",FALSE,175,"NPR",2017-02-03 22:02:29,FALSE,"827638121462370308","827638416640770053","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",147,FALSE,FALSE,NA,NA
"38","The Pentagon acknowledged that a video it released Friday to show what it called intelligence gleaned from Sunday's raid was in fact old.",FALSE,266,"NPR",2017-02-03 22:01:19,FALSE,"827632562134622208","827638121462370308","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",285,FALSE,FALSE,NA,NA
"39","State Department Says Fewer Than 60,000 Visas Revoked Under Travel Order https://t.co/VGbnXFOW0y",FALSE,54,NA,2017-02-03 21:45:03,FALSE,NA,"827634026366132224",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",56,FALSE,FALSE,NA,NA
"40","That 'Valuable Intel' From The Yemen Raid? It Was 10 Years Old https://t.co/qmtlc9PEeF",FALSE,984,NA,2017-02-03 21:39:14,FALSE,NA,"827632562134622208",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",1104,FALSE,FALSE,NA,NA
"41","We produced a few of our favorite ""Ads for Nicer Living"" for @npratc. Listen to those here: https://t.co/lDCdWfY2qs",FALSE,54,"NPR",2017-02-03 21:26:03,FALSE,"827627852153622529","827629246789074945","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",24,FALSE,FALSE,NA,NA
"42","In part, it goes:
""BURNT TOAST ...
The beauty of the imperfection.
Leave that toaster on a smidge too long and
try it for yourself today.""",FALSE,96,"NPR",2017-02-03 21:20:31,FALSE,"827626992233242624","827627852153622529","5392522","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",23,FALSE,FALSE,NA,NA
"43","'Bat Bot' Flying Robot Mimics 'Ridiculously Stupid' Complexity Of Bat Flight https://t.co/SfYdECNDw5",FALSE,156,NA,2017-02-03 21:19:34,FALSE,NA,"827627614181355521",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",67,FALSE,FALSE,NA,NA
"44","We asked listeners to write ads for little joys that enhance life. Some surprised us — e.g., an ode to burnt toast:… https://t.co/rvdXWDXRs3",FALSE,181,NA,2017-02-03 21:17:06,TRUE,NA,"827626992233242624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",81,FALSE,FALSE,NA,NA
"45","After 2 weeks in office, President Trump faces 50+ lawsuits, far more than his predecessors faced in that span… https://t.co/Lug1TB39Qw",FALSE,1337,NA,2017-02-03 21:01:32,TRUE,NA,"827623076045139969",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",1226,FALSE,FALSE,NA,NA
